Asset #,Inscription #,Title,Description,Image,To,Inscription Link,deposit address,tokenId,vault owner,name,emblem link
31,722,Litecoin Punk #31 (Inscription 722),Litecoin Punk #31. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/da7719ca8aa0f2e8ff6db1f2376bd71bbb092850a7ef618f96c7aad916233ccdi0,0x0bA6f23061051E70417315719a40e3e07f4108a5,https://litecoin.earlyordies.com/inscription/da7719ca8aa0f2e8ff6db1f2376bd71bbb092850a7ef618f96c7aad916233ccdi0,LMc56rB4kv9bUfQiuTNh6PcgBkvryYExW6,38215485034299411,0x0bA6f23061051E70417315719a40e3e07f4108a5,Litecoin Punk #31 (Inscription #722),https://emblem.finance/nft?id=38215485034299411
32,723,Litecoin Punk #32 (Inscription 723),Litecoin Punk #32. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/c88f79bc70e6cf98a9afe5e9ab1ac16f1cad0a289404217cbba0811b260d4c60i0,0x465F4F1c539a9821EdCa55A85901158A0cCeF443,https://litecoin.earlyordies.com/inscription/c88f79bc70e6cf98a9afe5e9ab1ac16f1cad0a289404217cbba0811b260d4c60i0,LUmuDSwMWLXYHj3GTAtXe7XqCbbc7CDDaZ,6939549253870171,0x465F4F1c539a9821EdCa55A85901158A0cCeF443,Litecoin Punk #32 (Inscription #723),https://emblem.finance/nft?id=6939549253870171
33,724,Litecoin Punk #33 (Inscription 724),Litecoin Punk #33. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/443aff7f6f57f1400e172d3d939777a24b1113c34eb4fc830b6a239f5a18f831i0,0x4BbdA1604DA7520CeffA7A7a3c92Eb088efeD52d,https://litecoin.earlyordies.com/inscription/443aff7f6f57f1400e172d3d939777a24b1113c34eb4fc830b6a239f5a18f831i0,LRHnBzNjXj9UzRJRMw2T72qWFXoW9oegUF,17113034522666281,0x4BbdA1604DA7520CeffA7A7a3c92Eb088efeD52d,Litecoin Punk #33 (Inscription #724),https://emblem.finance/nft?id=17113034522666281
34,725,Litecoin Punk #34 (Inscription 725),Litecoin Punk #34. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/b2cffd511a6196b315113b029c0d5eabd2c7b1fefa68af1ae5bdca4ed0766c1ai0,0xE7cc3F740aC93f7d0d712E5A21cb21556c6333A0,https://litecoin.earlyordies.com/inscription/b2cffd511a6196b315113b029c0d5eabd2c7b1fefa68af1ae5bdca4ed0766c1ai0,LPFwfzZw14Vx16f29zQdkBvDSXA4kj8R4x,14578746363867151,0xE7cc3F740aC93f7d0d712E5A21cb21556c6333A0,Litecoin Punk #34 (Inscription #725),https://emblem.finance/nft?id=14578746363867151
35,726,Litecoin Punk #35 (Inscription 726),Litecoin Punk #35. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/f9a50ff2c2271ea30f90f97529a669d97e55b26b5499ca868d2b4bd0190b5963i0,0x2aC12982E365c9d943341D13d5f09537B78d2972,https://litecoin.earlyordies.com/inscription/f9a50ff2c2271ea30f90f97529a669d97e55b26b5499ca868d2b4bd0190b5963i0,Lb8nQtyWK1Npu9cXYNKkBCqKpiorwGD1wF,34122108201456671,0x2aC12982E365c9d943341D13d5f09537B78d2972,Litecoin Punk #35 (Inscription #726),https://emblem.finance/nft?id=34122108201456671
36,727,Litecoin Punk #36 (Inscription 727),Litecoin Punk #36. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/38336032dbf461dde47aeec842faa1dc2412514ac2e1a6d7e44105408b3bcbf8i0,0xeE6311BbeF9F2cD1A0b4104b1B36105Fa415eC42,https://litecoin.earlyordies.com/inscription/38336032dbf461dde47aeec842faa1dc2412514ac2e1a6d7e44105408b3bcbf8i0,Le2Xp3JfpCyHpV6Fo3d8GMmNoJiQrfNbhX,86695570143522451,0xeE6311BbeF9F2cD1A0b4104b1B36105Fa415eC42,Litecoin Punk #36 (Inscription #727),https://emblem.finance/nft?id=86695570143522451
37,728,Litecoin Punk #37 (Inscription 728),Litecoin Punk #37. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/814229b8f446b89ceff8ae7ab4a0a6e2252de4e5841c68702c5ad2bc49f54730i0,0xd392a0d7Ee32b63bB19285d5bbbDCe35274520fe,https://litecoin.earlyordies.com/inscription/814229b8f446b89ceff8ae7ab4a0a6e2252de4e5841c68702c5ad2bc49f54730i0,LM6omXVVxFiALdsbF4Uqo4CuPNk5V2Ukmc,45698425690960841,0xd392a0d7Ee32b63bB19285d5bbbDCe35274520fe,Litecoin Punk #37 (Inscription #728),https://emblem.finance/nft?id=45698425690960841
38,729,Litecoin Punk #38 (Inscription 729),Litecoin Punk #38. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/53ffdee5dd96e15ba965891b133bf09afeea487c129c924d02dcf21a0c12f164i0,0xc9F2F148D58972dFd737834024c0411d71E25681,https://litecoin.earlyordies.com/inscription/53ffdee5dd96e15ba965891b133bf09afeea487c129c924d02dcf21a0c12f164i0,LbyZfWkVEg6FDff1uNJuru4x62dVEbWpZ6,300343702539941,0xc9F2F148D58972dFd737834024c0411d71E25681,Litecoin Punk #38 (Inscription #729),https://emblem.finance/nft?id=300343702539941
40,731,Litecoin Punk #40 (Inscription 731),Litecoin Punk #40. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/75c897868ba4b7afe357d0334e9cbc8afe18db6632dc0527ec1ee184a40855fci0,0x9cdcdb5011eb86cd758b6769c3a5143c040f2ad0,https://litecoin.earlyordies.com/inscription/75c897868ba4b7afe357d0334e9cbc8afe18db6632dc0527ec1ee184a40855fci0,LfqBx5mXufzxMW4EiGrV9ZUbMUbrMcqvfZ,76757891512377641,0x9cdcdb5011eb86cd758b6769c3a5143c040f2ad0,Litecoin Punk #40 (Inscription #731),https://emblem.finance/nft?id=76757891512377641
41,733,Litecoin Punk #41 (Inscription 733),Litecoin Punk #41. Litecoin Punks are a collection of 100 early Litecoin Ordinals with inscriptions #642 to #834. ,https://litecoin.earlyordies.com/preview/06c1f181ab2b4b4af84433759d4f44ae018965d5cc1477ba4e010139982791a3i0,0x03da37B4D9ecf8f2b553aF5242B8715aCD1A3CB5,https://litecoin.earlyordies.com/inscription/06c1f181ab2b4b4af84433759d4f44ae018965d5cc1477ba4e010139982791a3i0,LNmq2quWz4UBFu2FeiScmLmnbYCzvRGCVo,51202798015740211,0x03da37B4D9ecf8f2b553aF5242B8715aCD1A3CB5,Litecoin Punk #41 (Inscription #733),https://emblem.finance/nft?id=51202798015740211
